"ISO","Language","Family","Area","H","H_unigram","L2prop","MC","NumChap","Population","Rangesize","vehicularity","ethnologue_L2_users","used_as_L2_by","notes"
"arl","Arabela","Zaparoan","NE-South-America",1.28359842300415,9.74581623077393,0,0.875,1,50,983.3332509,0,FALSE,NA,""
"arn","Mapudungun","Mapudungu","Andean",1.49365949630737,8.50596714019775,0,0.503113567829132,26,300000,160095.4668,0,FALSE,NA,""
"aro","Araona","Tacanan","NE-South-America",NA,NA,0,0.430555552244186,21,81,357.6404206,0,FALSE,NA,""
"arp","Arapaho","Algic","Basin-and-Plains",NA,9.89444637298584,0,1,1,1040,5121.22029,0,FALSE,NA,""
"arr","Karo","Tupian","NE-South-America",NA,NA,0,0.333333343267441,9,170,1634.268373,0,FALSE,NA,""
"arv","Arbore","Afro-Asiatic","Greater-Abyssinia",NA,NA,0.301356583833694,0.400000005960465,1,4440,1683.488776,0,TRUE,NA,""
"arw","Arawak","Maipurean","NE-South-America",NA,NA,0,0.621212124824524,11,2450,11392.49829,0,FALSE,NA,""
"ary","Moroccan Spoken Arabic","Afro-Asiatic","N-Africa",NA,NA,0.180147215723991,0.615384638309479,13,20140000,145407.3953,1,TRUE,"tzm:gho:shi",""
"arz","Egyptian Spoken Arabic","Afro-Asiatic","N-Africa",1.67389369010925,11.5725288391113,NA,0.562967658042908,28,53410000,33298.79509,1,FALSE,"xnz:aec:siz",""
"asa","Asu","Niger-Congo","S-Africa",NA,NA,0,1,6,500000,8103.95917,0,FALSE,"gwe:mhd",""
"asm","Assamese","Indo-European","Indic",NA,NA,NA,1,6,16709000,53261.9773,1,FALSE,"adi:aio:njm:njo:apt:nbc:der:mhu:dis:adl:haj:hmr:hra:hru:clk:xac:rkt:mjw:kht:ksu:kdq:kfv:lyg:sjl:mxj:mrg:njb:phk:suv:sgp:nsm:nst:lax:tvt:nnp",""
"aso","Dano","Trans-New-Guinea","",1.37822473049164,9.47721862792969,0,NA,NA,30000,214.8810341,0,FALSE,"zuh",""
"ata","Pele-Ata","Yele-West-New-Britain","",1.26028060913086,8.39099788665772,0,NA,NA,2000,755.4327736,0,FALSE,NA,""
"atb","Zaiwa","Sino-Tibetan","",1.29380583763123,7.94583463668823,0,NA,NA,110000,3440.698678,0,FALSE,"kac:mhx",""
"atd","Ata Manobo","Austronesian","",1.37442100048065,7.5318489074707,0,NA,NA,26700,1725.30201,0,FALSE,NA,""
"atg","Ivbie North-Okpela-Arhe","Niger-Congo","",1.59218680858612,8.10822105407715,0,NA,NA,20000,207.5598355,0,FALSE,NA,""
"att","Pamplona Atta","Austronesian","",1.34556269645691,7.728102684021,0,NA,NA,1000,91.74699569,0,FALSE,"azt:atp",""
"atw","Atsugewi","Palaihnihan","Basin-and-Plains",NA,NA,0,1,3,3,6.83415869,0,FALSE,NA,"No known L1 speakers"
"aty","Aneityum","Austronesian","Oceania",NA,NA,0,0.466666668653488,10,900,158.2773064,0,FALSE,NA,""
"auc","Waorani","Language-isolate","NE-South-America",1.31650292873383,9.3189640045166,0,0.809523820877075,7,1650,8872.151547,0,FALSE,NA,"The language is considered to be endangered due to emerging Huaorani-Quichua bilingualism brought about by mixed marriages and bilingual education programs taught by Quichua teachers who do not speak Huaorani (Crevels 2007)."
"aui","Anuki","Austronesian","",1.50071716308594,9.01349353790283,0,NA,NA,890,160.1259034,0,FALSE,"jma:dgg",""
"aun","Molmo One","Torricelli","N-Coast-New-Guinea",NA,NA,0.28571429848671,0.75,4,500,28.81205123,0,TRUE,NA,""
"auw","Awyi","Border","N-Coast-New-Guinea",NA,NA,0,1,1,350,173.9125367,0,FALSE,NA,""
"auy","Awiyaana","Trans-New-Guinea","Interior-New-Guinea",1.47035992145538,11.1333570480347,0,NA,NA,11100,351.8053569,0,FALSE,NA,""
"ava","Avar","North-Caucasian","Greater-Mesopotamia",1.68226552009583,11.0921878814697,NA,0.857142865657806,7,788000,12296.88591,1,FALSE,"akv:ani:aqc:kva:kap:bph:cji:ddo:gdo:gin:huz:kpt:khv:tin:tkr",""
"avi","Avikam","Niger-Congo","African-Savannah",NA,NA,0,0.5,2,21000,382.0475632,0,FALSE,NA,""
"avt","Au","Torricelli","N-Coast-New-Guinea",1.35416281223297,8.41404438018799,0,0.25,8,8000,219.4572077,0,FALSE,NA,""
"avu","Avokaya","Nilo-Saharan","African-Savannah",1.40297472476959,7.68108987808228,0,0.625,6,65000,4625.127603,0,FALSE,"bdh:muh",""
"awa","Awadhi","Indo-European","Indic",2.00675296783447,9.17796134948731,0.014752713032067,NA,NA,38261000,42290.64936,0,TRUE,NA,""
"awb","Awa","Trans-New-Guinea","Interior-New-Guinea",1.45372688770294,10.4479885101318,0,0.857142865657806,7,2050,327.12529,0,FALSE,NA,""
"awi","Aekyom","Trans-New-Guinea","Interior-New-Guinea",1.50060749053955,8.48536014556885,0,1,2,8000,4790.394801,0,FALSE,NA,""
"awn","Awngi","Afro-Asiatic","Greater-Abyssinia",NA,NA,0.116371519863606,0.625,4,500000,5991.906932,0,TRUE,NA,"Also use Amharic [amh], mostly in towns, and among Northern Awngi, only males know it; countryside population has very limited knowledge of the language."
"ayc","Southern Aymara","Aymaran","",NA,NA,0,0.672902464866638,21,219000,9294.266465,0,FALSE,NA,""
"ayn","Sanaani Spoken Arabic","Afro-Asiatic","Greater-Mesopotamia",NA,NA,0,1,1,7600000,119383.3202,0,FALSE,"rzh",""
"ayo","Ayoreo","Zamucoan","SE-South-America",1.38608253002167,8.53717422485352,0,1,3,3070,70112.10148,0,FALSE,NA,""
"ayr","Central Aymara","Aymaran","Andean",1.52708005905151,11.7001132965088,0,NA,NA,2262900,252666.8456,0,FALSE,"cap:qul",""
"ayz","Mai Brat","Maybrat","N-Coast-New-Guinea",NA,NA,0,0.291710764169693,27,20000,8377.786824,0,FALSE,"kps",""
"azb","South Azerbaijani","Altaic","Greater-Mesopotamia",1.79471611976624,10.9228458404541,NA,0.86388885974884,9.5,12330000,132020.1074,1,FALSE,"hye:pes",""
"azg","San Pedro Amuzgos Amuzgo","Otomanguean","",1.2472186088562,8.44908618927002,0,NA,NA,4000,58.12915342,0,FALSE,NA,""
"azz","Highland Puebla Nahuatl","Uto-Aztecan","Mesoamerica",1.34438800811768,8.70194339752197,0,NA,NA,125000,516.8590513,0,FALSE,NA,""
"baa","Babatana","Austronesian","Oceania",NA,NA,0,0.111111111938953,9,7070,1998.587739,0,FALSE,NA,""
"bag","Tuki","Niger-Congo","African-Savannah",NA,NA,0,1,3,26000,1594.601436,0,FALSE,"leo",""
"bak","Bashkir","Altaic","Inner-Asia",1.8377560377121,10.9082040786743,0,0.666666686534882,12,1380000,104855.7169,0,FALSE,NA,""
"bam","Bamanankan","Niger-Congo","African-Savannah",1.53471386432648,7.73285913467407,0.709401965141297,0.464743584394455,13,2772040,138520.6738,1,TRUE,"bog:bxw:dgb:dux:bze:jow:xkg:bzx:bbo:khq:ses:ffm:myk:snk:spp:shz:boz",""
