ISO,Language,Family,Area,H,H_unigram,L2prop,MC,NumChap,Population,Rangesize,vehicularity,ethnologue_L2_users,used_as_L2_by,notes,NOTA BENE! Remember to use Ethnologue version 20 (the 2017 version)!,,,
aro,Araona,Tacanan,NE-South-America,,,0,0.4305555522,21,81,357.6404206,0,FALSE,no information,,,,,
arp,Arapaho,Algic,Basin-and-Plains,,9.894446373,0,1,1,1040,5121.22029,0,FALSE,no information,,,,,
arr,Karo,Tupian,NE-South-America,,,0,0.3333333433,9,170,1634.268373,0,FALSE,no information,,,,,
arv,Arbore,Afro-Asiatic,Greater-Abyssinia,,,0.3013565838,0.400000006,1,4440,1683.488776,0,TRUE,no information,,,,,
arw,Arawak,Maipurean,NE-South-America,,,0,0.6212121248,11,2450,11392.49829,0,FALSE,no information,,,,,
ary,Moroccan Spoken Arabic,Afro-Asiatic,N-Africa,,,0.1801472157,0.6153846383,13,20140000,145407.3953,1,TRUE,"Used as L2 by Central Atlas Tamazight [tzm], Ghomara [gho], Tachelhit [shi].",,,,,
arz,Egyptian Spoken Arabic,Afro-Asiatic,N-Africa,1.67389369,11.57252884,,0.562967658,28,53410000,33298.79509,1,FALSE,"Used as L2 by Mattokki [xnz], Sa’idi Spoken Arabic [aec], Siwi [siz].",,,,,
asa,Asu,Niger-Congo,S-Africa,,,0,1,6,500000,8103.95917,0,FALSE,"Used as L2 by Gweno [gwe], Mbugu [mhd].",,,,,
asm,Assamese,Indo-European,Indic,,,,1,6,16709000,53261.9773,1,FALSE,"Used as L2 by Adi [adi], Aiton [aio], Angami Naga [njm], Ao Naga [njo], Apatani [apt], Chang Naga [nbc], Deori [der], Digaro-Mishmi [mhu], Dimasa [dis], Galo Adi [adl], Hajong [haj], Hmar [hmr], Hrangkhol [hra], Hruso [hru], Idu-Mishmi [clk], Kachari [xac], Kamta [rkt], Karbi [mjw], Khamti [kht], Khamyang [ksu], Koch [kdq], Kurmukar [kfv], Lyngngam [lyg], Miji [sjl], Miju-Mishmi [mxj], Mising [mrg], Nocte Naga [njb], Phake [phk], Puroik [suv], Singpho [sgp], Sumi Naga [nsm], Tangsa Naga [nst], Tiwa [lax], Tutsa Naga [tvt], Wancho Naga [nnp].",,,,,
aso,Dano,Trans-New-Guinea,,1.37822473,9.477218628,0,,,30000,214.8810341,0,FALSE,Used as L2 by Tokano [zuh].,,,,,
ata,Pele-Ata,Yele-West-New-Britain,,1.260280609,8.390997887,0,,,2000,755.4327736,0,FALSE,no information,,,,,
atb,Zaiwa,Sino-Tibetan,,1.293805838,7.945834637,0,,,110000,3440.698678,0,FALSE,"Used as L2 by Jingpho [kac], Lhaovo [mhx].",,,,,
atd,Ata Manobo,Austronesian,,1.374421,7.531848907,0,,,26700,1725.30201,0,FALSE,no information,,,,,
atg,Ivbie North-Okpela-Arhe,Niger-Congo,,1.592186809,8.108221054,0,,,20000,207.5598355,0,FALSE,no information,,,,,
att,Pamplona Atta,Austronesian,,1.345562696,7.728102684,0,,,1000,91.74699569,0,FALSE,"Used as L2 by Faire Atta [azt], Pudtol Atta [atp].",,,,,
atw,Atsugewi,Palaihnihan,Basin-and-Plains,,,0,1,3,3,6.83415869,0,FALSE,no information,No known L1 speakers,,,,
